script	grapheme	unicode	IPA	comment	source	omniglot
Yakut	х	U+0445	χ		Kharitonov 1947: 47-59	
Yakut	Ҕ	U+0494	ʁ		Kharitonov 1947: 47-59	
Yakut	ҕ	U+0495	ʁ		Kharitonov 1947: 47-59	
Yakut	ҥ	U+04A5	ŋ		Kharitonov 1947: 47-59	
Yakut	Һ	U+04BA	h		Kharitonov 1947: 47-59	
Yakut	һ	U+04BB	h		Kharitonov 1947: 47-59	
Yakut	Дь	U+0414 U+044C	d͡ʒ		Kharitonov 1947: 47-59	
Yakut	дь	U+0434 U+044C	d͡ʒ		Kharitonov 1947: 47-59	
Yakut	Ч	U+0427	t͡ʃ		Kharitonov 1947: 47-59	
Yakut	ч	U+0447	t͡ʃ		Kharitonov 1947: 47-59	
Yakut	Ц	U+0426	t͡s		Kharitonov 1947: 47-59	
Yakut	ц	U+0446	t͡s		Kharitonov 1947: 47-59	

script	collected	source	omniglot
Yakut	Vyacheslav Ivanov	Kharitonov, L. N. (1947) Sovremennyj yakutskij yazyk: Fonetika i morfologiya. Yakutsk
