script	grapheme	unicode	IPA	comment	source	omniglot
Nanai	т	U+0442	t		Avrorin 1959: 66-70	
Nanai	У	U+0423	u		Avrorin 1959: 66-70	
Nanai	У	U+0423	uː		Avrorin 1959: 66-70	
Nanai	Уй	U+0423 U+0439	ui		Avrorin 1959: 66-70	
Nanai	у	U+0443	u		Avrorin 1959: 66-70	
Nanai	у	U+0443	uː		Avrorin 1959: 66-70	
Nanai	уй	U+0443 U+0439	uː		Avrorin 1959: 66-70	
Nanai	уй	U+0443 U+0439	ui		Avrorin 1959: 66-70	
Nanai	уи	U+0443 U+0438	ui		Avrorin 1959: 66-70	
Nanai	ун	U+0443 U+043D	uⁿ		Avrorin 1959: 66-70	
Nanai	уэ	U+0443 U+044D	uə		Avrorin 1959: 66-70	
Nanai	уин	U+0443 U+0438 U+043D	uiⁿ		Avrorin 1959: 66-70	
Nanai	уэн	U+0443 U+044D U+043D	uəⁿ		Avrorin 1959: 66-70	
Nanai	Х	U+0425	x	в словах с гласными переднего ряда	Avrorin 1959: 66-70	
Nanai	х	U+0445	x		Avrorin 1959: 66-70	
Nanai	Ч	U+0427	t͡ʃ		Avrorin 1959: 66-70	
Nanai	ч	U+0447	t͡ʃ		Avrorin 1959: 66-70	
Nanai	ы	U+044B	ɯ		Avrorin 1959: 66-70	
Nanai	Э	U+042D	ə		Avrorin 1959: 66-70	
Nanai	Э	U+042D	əː		Avrorin 1959: 66-70	
Nanai	Эй	U+042D U+0439	əi		Avrorin 1959: 66-70	
Nanai	э	U+044D	ə		Avrorin 1959: 66-70	
Nanai	э	U+044D	əː		Avrorin 1959: 66-70	
Nanai	эй	U+044D U+0439	əi		Avrorin 1959: 66-70	
Nanai	эи	U+044D U+0438	əi		Avrorin 1959: 66-70	
Nanai	эу	U+044D U+0443	əu		Avrorin 1959: 66-70	
Nanai	эин	U+044D U+0438 U+043D	əiⁿ		Avrorin 1959: 66-70	
Nanai	эун	U+044D U+0443 U+043D	əuⁿ		Avrorin 1959: 66-70	
Nanai	Ю	U+042E	ju		Avrorin 1959: 66-70	
Nanai	ю	U+044E	ju		Avrorin 1959: 66-70	
Nanai	юй	U+044E U+0439	ui		Avrorin 1959: 66-70	
Nanai	юн	U+044E U+043D	uⁿ		Avrorin 1959: 66-70	
Nanai	юэ	U+044E U+044D	uə		Avrorin 1959: 66-70	
Nanai	юин	U+044E U+0438 U+043D	uiⁿ		Avrorin 1959: 66-70	
Nanai	юэн	U+044E U+044D U+043D	uəⁿ		Avrorin 1959: 66-70	
Nanai	Я	U+042F	ja		Avrorin 1959: 66-70	
Nanai	Яй	U+042F U+0439	ai		Avrorin 1959: 66-70	
Nanai	Яи	U+042F U+0438	ai		Avrorin 1959: 66-70	
Nanai	я	U+044F	ja		Avrorin 1959: 66-70	
Nanai	яй	U+044F U+0439	jaː		Avrorin 1959: 66-70	
Nanai	яи	U+044F U+0438	jaː		Avrorin 1959: 66-70	
Nanai	ян	U+044F U+043D	aⁿ		Avrorin 1959: 66-70	
Nanai	яо	U+044F U+043E	ao		Avrorin 1959: 66-70	
Nanai	яин	U+044F U+0438 U+043D	aiⁿ		Avrorin 1959: 66-70	
Nanai	яон	U+044F U+043E U+043D	aoⁿ		Avrorin 1959: 66-70	
