script	grapheme	unicode	IPA	comment	source	omniglot	contributor
Wa	Rh	U+0052 U+0068	rʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	r	U+0072	r		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	rh	U+0072 U+0068	rʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	Y	U+0059	j		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	Yh	U+0059 U+0068	jʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	y	U+0079	j		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	yh	U+0079 U+0068	jʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	L	U+004C	l		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	Lh	U+004C U+0068	lʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	l	U+006C	l		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	lh	U+006C U+0068	lʰ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	I	U+0049	i		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	i	U+0069	i		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ie	U+0069 U+0065	ɛ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	iu	U+0069 U+0075	iu		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ia	U+0069 U+0061	ia		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	iao	U+0069 U+0061 U+006F	iau		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ee	U+0065 U+0065	ɯ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	eei/ui	U+0065 U+0065 U+0069/U+0075 U+0069	ɯi		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	U	U+0055	u		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	u	U+0075	u		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ui/wi	U+0075 U+0069/U+0077 U+0069	ui		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ua/wa	U+0075 U+0061/U+0077 U+0061	ua		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	E	U+0045	e		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	e	U+0065	e/ei		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	eu	U+0065 U+0075	ɤ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	eue	U+0065 U+0075 U+0065	ɤi		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	O	U+004F	o/ou		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	o	U+006F	o/ou		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	oi/oe/we	U+006F U+0069/U+006F U+0065/U+0077 U+0065	oi~ɔi		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	oe	U+006F U+0065	uai		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	A	U+0041	a		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	a	U+0061	a		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	aw	U+0061 U+0077	ɔ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	ai	U+0061 U+0069	ai		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	au	U+0061 U+0075	aɯ		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
Wa	au/ao	U+0061 U+0075/U+0061 U+006F	au		Mai 2012: 14-18	http://omniglot.com/writing/wa.htm	Daria Demkina
